method,x_rmse_m,y_rmse_m,position_rmse_m,vx_rmse_mps,vy_rmse_mps,velocity_rmse_mps,yaw_rmse_deg
Raw GNSS,17.811748721978738,17.798766250493607,25.180438291948406,0.5060507525496909,0.47886648769522644,0.6967068803978262,1.2888879456866194
Low-pass Filter,18.414174785228397,18.363376158125227,26.005680474576,0.47819564611796145,0.48774865401249196,0.6830591668788086,1.0386660582155263
Complementary Filter,12.362366986115578,12.360808169826203,17.481924839978078,0.3092251076314392,0.2710748593054913,0.4112198275097725,1.687697544242384
EKF,3.5568803323039178,3.529920456818292,5.011161155839501,0.22534936501003403,0.2348741211494821,0.3254968342337098,1.687697544242384
